# source: Dr. Duke's Phytochemical & Ethnobotanical Database (COMMON_NAMES.csv joined to FNFTAX.csv via FNFNUM)
# retrieved/processed: 2026-08-18
organism_id	scientific_name	duke_common_name	all_duke_common_names
Organism_2918	Epimedium wushanense		
Organism_45873	Euodia officinalis		
Organism_15752	Fritillaria hupehensis		
Organism_14629	Hypericum papuanum		
Organism_46912	Hypoxis nyasica		
Organism_45345	Jacaranda chelonia		
Organism_45352	Payena lucida		
Organism_2277	Alstonia yunnanensis		
Organism_44444	Aquilaria agallochum		
Organism_46814	Baccharis grandicapitulata		
Organism_3066	Codonocarpus australis		
Organism_46920	Paranephelius uniflorus		
Organism_51346	cratoxylum formosum ssp. pruniflorum		
Organism_44813	Anemone narcissiflora		
Organism_29640	Backhousia angustifolia		
Organism_17808	Cipadessa baccifera		
Organism_12035	Gentiana olivieri		
Organism_3064	Magnolia kobus var. borealis	Hsin-I	Hsin-I; Xin-Yi
Organism_29779	Pleogyne cunninghamii		
Organism_44197	Rubia tetragona		
Plant_Spiraea_Formosa	Spiraea Formosa		
Organism_17888	Unonopsis glaucopetala		
Organism_6442	Asiasarum heterotropoides	Asian Wild Ginger	Asian Wild Ginger
Organism_48549	Benzoin praecox		
Organism_48503	Bystropogon origanifolius		
Organism_48533	Cardamine pinnata		
Organism_12650	Epimedium davidii		
Organism_15556	Fritillaria taipaiensis		
Organism_17887	Kalanchoe spathulata	Beach Bells	Beach Bells
Organism_8508	Millettia racemosa		
Organism_48477	Schizonepeta multifida		
Organism_1985	Aristolochia heterophylla		
Organism_44815	Hyperbaena columbica		
Organism_46609	Persicaria tinctoria		
Organism_15597	Piper brachystachyum		
Organism_5551	Sapium indicum		
Organism_6786	Schisandra rubriflora		
Organism_8623	Sinoadina racemosa		
Plant_Dendrobium_officinale	Dendrobium officinale		
Organism_9808	Pancratium trianthum		
Organism_48324	Tanacetum santolina		
Organism_5821	Artabotrys uncinatus		
Organism_885	Artemisia judaica		
Organism_18853	Delphinium giraldii		
Organism_46903	Echiochilon pauciflorum		
Organism_5120	Gnetum cleistostachyum		
Organism_5912	Hypericum chinense		
Organism_15935	Ligusticum lucidum		
Organism_4322	Lycopodium japonicum		
Organism_6905	Angelica ursina Maxim		
Organism_49218	Calea pilosa		
Organism_47681	Esenbeckia nesiotica		
Organism_44561	Ilex amara		
Organism_17357	Phaleria macrocarpa		
Organism_68	Piper sanctum		
Organism_25781	Podocarpus amarus		
Organism_2393	Rhododendron molle	Yellow Azalea	Yellow Azalea
Organism_47598	Sinocalamus affinis		
Organism_46901	Ulva prolifera		
Organism_25661	Clausena indica		
Organism_18880	Clusia sandiensis		
Organism_3963	Hyptis tomentosa		
Organism_46897	Isoberlinia angolensis		
Organism_7169	Marrubium velutinum		
Organism_4503	Pleione bulbocodioides		
Organism_44488	Solanum acaule		
Organism_14575	Uncaria sinensis		
Organism_17993	Veltheimia viridifolia		
Organism_14832	Abrus pulchellus		
Organism_2615	Achillea nana		
Organism_3086	Ambrosia artemisioides		
Organism_47295	Goniothalamus dolichocarpus		
Organism_15536	Leonurus glaucescens		
Plant_Petalostemon_purpureum	Petalostemon purpureum		
Organism_1471	Phlomis crinita		
Organism_15015	Piper pedicellosum		
Organism_20386	Piptostigma fugax		
Organism_44812	Viburnum grandifolium		
Organism_46899	Allium monspessulanum		
Organism_21950	Asiasarum sieboldii	Siebold's Wild Ginger	Siebold's Wild Ginger
