# tiers: junk (structural non-taxon markers) | possible_plant (kept for review)
organism_id	scientific_name	tier	reason
Plant_Semen_torreyae	Semen torreyae	junk	pharmacognosy part-name ('semen')
Plant_Siphonoglossa_S._mexicana	Siphonoglossa S. mexicana	possible_plant	
Plant_Sphaeropsidales	Sphaeropsidales	possible_plant	
Plant_Stemphilium_sp._No._644	Stemphilium sp. No. 644	junk	contains digits (strain/catalog id)
Plant_Sunflower_seastar	Sunflower seastar	possible_plant	
Plant_Testa_arachidis_hypogaeae	Testa arachidis hypogaeae	possible_plant	
Plant_Unum_usitatissimum	Unum usitatissimum	possible_plant	
Plant_Veticillium_lecanii	Veticillium lecanii	possible_plant	
Plant_Xinea_florida	Xinea florida	possible_plant	
Plant_Zonariu_toumefortii	Zonariu toumefortii	possible_plant	
Plant_clostridium_stercorarium_subsp._leptospartum	[clostridium] stercorarium subsp. leptospartum	junk	contains brackets/parens (strain designation)
Plant_green_bristle-grass	green bristle-grass	possible_plant	
Plant_madagascan_sponges	madagascan sponges	possible_plant	
Plant_mitosporic_dothideomycete_sp._lrub20	mitosporic dothideomycete sp. lrub20	junk	contains digits (strain/catalog id)
Plant_msx_47445	msx 47445	junk	contains digits (strain/catalog id)
Plant_Almeidia_coerulea	Almeidia coerulea	possible_plant	
Plant_Amarilidaceae	Amarilidaceae	possible_plant	
Plant_Amelaria_mellea	Amelaria mellea	possible_plant	
Plant_Amicolatopsis_sp._MJ950-89F4	Amicolatopsis sp. MJ950-89F4	junk	contains digits (strain/catalog id)
Organism_54310	Arillus longan	junk	pharmacognosy part-name ('arillus')
Plant_Atlantic_deep-sea_scallop	Atlantic deep-sea scallop	junk	non-plant common-name token
Plant_Australian_green_tree_frog	Australian green tree frog	possible_plant	
Plant_Bakabsua_obtecta_B249	Bakabsua obtecta B249	junk	contains digits (strain/catalog id)
Plant_Bilis_porci	Bilis porci	possible_plant	
Plant_Camoensis_maxima	Camoensis maxima	possible_plant	
Plant_Carallococcus_caralloides_Cc_c127	Carallococcus caralloides Cc c127	junk	contains digits (strain/catalog id)
Plant_Caulis_sargentodoxae	Caulis sargentodoxae	junk	pharmacognosy part-name ('caulis')
Plant_Comus_officinalis	Comus officinalis	possible_plant	
Plant_Concha_haliotidis	Concha haliotidis	junk	pharmacognosy part-name ('concha')
Plant_Cortex_zingiberis	Cortex zingiberis	junk	pharmacognosy part-name ('cortex')
Plant_Cylindrospormum_sp.	Cylindrospormum sp.	possible_plant	
Plant_Endicheria_aff.	Endicheria aff.	possible_plant	
Plant_Eupatortum_urticaefolium	Eupatortum urticaefolium	possible_plant	
Plant_Herba_clinopodii	Herba clinopodii	junk	pharmacognosy part-name ('herba')
Plant_Herba_desmodii_styracifolii	Herba desmodii styracifolii	junk	pharmacognosy part-name ('herba')
Plant_Herba_gynurae_bicoloris	Herba gynurae bicoloris	junk	pharmacognosy part-name ('herba')
Plant_Herba_lysimachiae	Herba lysimachiae	junk	pharmacognosy part-name ('herba')
Plant_Herba_sophorae_alopecuroidis	Herba sophorae alopecuroidis	junk	pharmacognosy part-name ('herba')
Plant_Honophymia_conferta	Honophymia conferta	possible_plant	
Plant_James_s_Flamingo	James's Flamingo	possible_plant	
Plant_Kuji_amber	Kuji amber	possible_plant	
Plant_Kurosawa_E	Kurosawa E	possible_plant	
Plant_Lanurocerasus_officinalis	Lanurocerasus officinalis	possible_plant	
Plant_Large_milkweed_bug	Large milkweed bug	possible_plant	
Plant_Llex_chinensis	Llex chinensis	possible_plant	
Plant_Madagascan_mantella	Madagascan mantella	possible_plant	
Plant_Manchurian_wild_rice	Manchurian wild rice	possible_plant	
Plant_Massa_hanshi_fermentata	Massa hanshi fermentata	possible_plant	
Organism_57058	Natural products	possible_plant	
Plant_Neamatoloma_fasciculare	Neamatoloma fasciculare	possible_plant	
Plant_Ochrocapus_odoratus	Ochrocapus odoratus	possible_plant	
Plant_Oioscorea_parviflora	Oioscorea parviflora	possible_plant	
Plant_Oleum_sesami	Oleum sesami	junk	pharmacognosy part-name ('oleum')
Plant_Oleum_terebinthinae	Oleum terebinthinae	junk	pharmacognosy part-name ('oleum')
Plant_Onionis_viscosa_ssp._breviflora	Onionis viscosa ssp. breviflora	possible_plant	
Plant_Perganum_harmala	Perganum harmala	possible_plant	
Plant_Plains_Lubber_Grasshopper	Plains Lubber Grasshopper	possible_plant	
Plant_Priestleya	Priestleya	possible_plant	
Plant_Proclema_pendula	Proclema pendula	possible_plant	
Plant_Pulvis_coris_bovis_seu_bubali	Pulvis coris bovis seu bubali	junk	Latin drug phrase (seu/et)
Plant_Resina_olibani	Resina olibani	junk	pharmacognosy part-name ('resina')
Plant_Scaphyglotti_Livida	Scaphyglotti Livida	possible_plant	
Plant_Semen_alpiniae_katsumadai	Semen alpiniae katsumadai	junk	pharmacognosy part-name ('semen')
Plant_Semen_chaulmoograe	Semen chaulmoograe	junk	pharmacognosy part-name ('semen')
Plant_Semen_holarrhenae	Semen holarrhenae	junk	pharmacognosy part-name ('semen')
Plant_Semen_sterculiae_lychnophorae	Semen sterculiae lychnophorae	junk	pharmacognosy part-name ('semen')
Organism_55332	Siberian larch	possible_plant	
Plant_Smearwort	Smearwort	possible_plant	
Plant_Spanish_Navelinas	Spanish Navelinas	possible_plant	
Plant_Sparuna_pauciflora	Sparuna pauciflora	possible_plant	
Plant_Sphaeropsidales_sp.strain_F-24_707	Sphaeropsidales sp.strain F-24'707	junk	contains digits (strain/catalog id)
Plant_Verrucarol_diacetoxyscirpenol	Verrucarol diacetoxyscirpenol	possible_plant	
Plant_araguaney	araguaney	possible_plant	
Plant_bcc_8616	bcc 8616	junk	contains digits (strain/catalog id)
Plant_black_cardamom	black cardamom	possible_plant	
Plant_black_garden_ant	black garden ant	possible_plant	
Plant_japanese_brown_alga	japanese brown alga	possible_plant	
