# per-organism common-name source; precedence gbif/ncbi > wikidata > duke
organism_id	scientific_name	common_name	source
Organism_12113	Onopordum acanthium	Cotton Thistle	gbif
Organism_3418	Excoecaria agallocha	Gewa	gbif
Organism_1348	Juglans regia	Common Walnut	gbif
Organism_1526	Withania somnifera	Rennet	gbif
Organism_9533	Acorus gramineus	Slender Sweet-flag	gbif
Organism_1117	Coriandrum sativum	Coriander	gbif
Organism_173	Calendula officinalis	Pot Marigold	gbif
Organism_5379	Inula britannica	xuan fu hua	ncbi
Organism_4216	Mentha spicata	Spear Mint	gbif
Organism_7542	Nardostachys jatamansi	Indian Nard	gbif
Plant_pomelo	pomelo	buntan	ncbi
Organism_16573	Citrus natsudaidai	Japanese summer grapefruit	gbif
Organism_4836	Crataegus pinnatifida	Chinese haw	gbif
Organism_4280	Metasequoia glyptostroboides	Dawn Redwood	gbif
Organism_8123	Tabernaemontana divaricata	Adam's-apple	gbif
Plant_basil	basil	basil	ncbi
Organism_8107	Castanea crenata	Japanese Chestnut	gbif
Organism_14049	Ficus carica	Cultivated Fig	gbif
Organism_8277	Juniperus brevifolia	Azores Juniper	gbif
Organism_1485	Capparis spinosa	Caper	gbif
Organism_6219	Vitex trifolia	Indian Three-leaf Vitax	gbif
Organism_2045	Bellis perennis	Daisy	gbif
Organism_22621	Chamaemelum nobile	Chamomile	gbif
Organism_535	Prunus domestica	Damson Plum	gbif
Organism_17998	Juniperus communis var.depressa	American Common Juniper	gbif
Organism_248	Physalis alkekengi	Chinese-lantern	ncbi
Organism_6894	Polygala senega	Seneca Snakeroot	gbif
Organism_30839	Albizia Julibrissin	silk tree	ncbi
Organism_2704	Eriobotrya japonica	Loquat	gbif
Organism_7220	Huperzia serrata	Toothed Clubmoss	gbif
Organism_2843	Cucumis sativus	Cucumber	gbif
Organism_3301	Cytisus scoparius	Broom	gbif
Organism_44159	Euphorbia cornigera	horned spurge	gbif
Organism_8772	Vaccinium macrocarpon	American Cranberry	gbif
Organism_3736	Alstonia macrophylla	Deviltree	gbif
Organism_11034	Pinus strobus	Eastern White Pine	gbif
Organism_6111	Cimicifuga foetida L.	Bugbane	duke
Organism_10177	Tanacetum vulgare L.	Tansy	gbif
Organism_4541	Uncaria rhynchophylla	Uncaria rhynchophylla ex	wikidata
Organism_14137	Asimina parviflora	dwarf pawpaw	gbif
Organism_44324	Hansenia forbesii	notopterygium	gbif
Organism_44668	Pteris semipinnata	Big unequal-lobe brake fern	gbif
Organism_2305	Taxus mairei	Maire's Yew	gbif
Organism_9036	Anethum graveolens	Dill	gbif
Organism_5481	Pancratium sickenbergeri	desert pancratium	gbif
Organism_5862	Thuja plicata	Western Red-cedar	gbif
Organism_21081	Toxicodendron succedaneum	Japanese waxtree	gbif
Organism_30108	Pteridium esculentum	austral bracken	gbif
Organism_4563	Juniperus chinensis	Chinese Juniper	gbif
Organism_6437	Astragalus mongholicus	Mongolian Milkvetch	gbif
Organism_32269	Consolida ajacis (L.) Schur	Larkspur	gbif
Organism_46018	Abelia chinensis	Chinese abelia	gbif
Organism_6932	Brassica juncea	Chinese Mustard	gbif
Organism_247	Lycium barbarum	Common Matrimony Vine	gbif
Organism_2302	Cephalotaxus fortunei	Chinese Plum-yew	gbif
Organism_8885	Opuntia ficus-indica	Sweet Pickle	gbif
Organism_32094	Prunus laurocerasus L.	Cherry Laurel	gbif
Organism_6217	Thymus piperella	Thyme	duke
Organism_8887	Chenopodium quinoa	Quinoa	gbif
Organism_3641	Piper arboreum	tree pepper	gbif
Organism_2479	Plantago major	Broadleaf Plantain	gbif
Organism_19104	Simarouba glauca	bitter ash	gbif
Organism_46033	Baccharis neglecta	New Deal-weed	gbif
Organism_17192	Centaurea maculosa	Spotted Knapweed	wikidata
Organism_13679	Chondrodendron tomentosum	pareira	gbif
Organism_19078	Euphorbia hirta	Asthma-plant	gbif
Organism_8267	Diospyros eriantha	woolly-flowered persimmon	gbif
Organism_2929	Gelsemium elegans	Graceful Jesamine	gbif
Organism_6226	Leptospermum scoparium	Broom Tea-tree	gbif
Organism_8387	Paeonia suffruticosa	Tree peony	gbif
Organism_17434	Trifolium alexandrinum	Egyptian Clover	gbif
Plant_garlic	garlic	garlic	ncbi
Organism_12219	Passiflora incarnata	Purple Passionflower	gbif
Organism_6	Artemisia ludoviciana	Western Mugwort	gbif
Organism_5398	Chamaecyparis formosensis	Taiwan Cypress	gbif
Organism_3286	Plantago lanceolata	English plantain	gbif
Organism_26904	Aglaia elaeagnoidea	coastal boodyarra	gbif
Organism_44289	Cordylanthus kingii	King's Bird's-beak	gbif
Organism_4906	Pteridium aquilinum	Bracken	gbif
Organism_44807	Citrus trifoliata	Japanese Bitter-orange	gbif
Organism_19377	Eclipta prostrata	false daisy	gbif
Organism_18048	Hamamelis virginiana	American Witch-hazel	gbif
Organism_31630	Phytolacca americana L.	American pokeweed	gbif
Organism_7555	Vitex rotundifolia	Beach vitex	gbif
Organism_8208	Digitalis purpurea	Foxglove	gbif
Organism_2606	Hypericum ascyron	Great St. John's Wort	gbif
Organism_3629	Swietenia mahagoni	Mahogany	gbif
Organism_23148	Syzygium polycephaloides	Lipute	gbif
Organism_726	Taraxacum officinale	dandelion	gbif
Organism_12371	Anodendron affine	Common Anodendron	gbif
Organism_11160	Atalantia racemosa	Bombay atalantia	gbif
Organism_13053	Prosopis glandulosa	honey mesquite	gbif
Organism_2962	Sophora japonica	Japanese pagoda tree	gbif
Organism_2760	Alstonia scholaris	Blackboard Tree	gbif
Organism_3809	Camellia japonica	Camellia	gbif
Organism_7731	Cirsium japonicum	East Asian thistle, Japanese thistle	gbif
Organism_8178	Rubus idaeus	European Raspberry	gbif
Organism_44302	Acacia aulacocarpa	black wattle	gbif
Organism_2527	Avena sativa	Cultivated Oats	gbif
Organism_7315	Cedrus libani	Cedar of Lebanon	gbif
Organism_8828	Grevillea robusta	Silky Oak	gbif
Organism_2349	Piper cubeba	Cubeb	gbif
Organism_15450	Psilostrophe cooperi	Whitestem Paperflower	gbif
Organism_11199	Aster tataricus	Tartarian Aster	gbif
Organism_1161	Datura stramonium	Fireweed	gbif
Organism_4388	Dipsacus asper	Sichuan teasel	gbif
Organism_12933	Lupinus cosentinii Guss.	Hairy blue lupin	gbif
Organism_3710	Rheum palmatum	Ornamental Rhubarb	gbif
Organism_8207	Salvia dorrii	Blue Sage	gbif
Organism_12241	Vaccinium corymbosum	Blueberry	gbif
Organism_6747	Angelica pubescens f.biserrta	du huo	ncbi
Organism_2459	Araujia sericifera	Bladderflower	gbif
Organism_4890	Ipomoea nil	Annua morning glory	gbif
Organism_21168	Prunus dulcis	almond	ncbi
Organism_8233	Salvia yosgadensis	Beekeeper's Sage	gbif
Organism_1322	Teucrium polium ssp. aurasianum	Golden Germander	duke
Organism_6002	Alpinia galanga	Galanga	gbif
Organism_9199	Conyza canadensis	Canadian Fleabane	gbif
Organism_43979	Monodora tenuifolia	African-nutmeg	gbif
Organism_44323	Ostericum grosseserratum	Deeply-serrate-leaf ostericum	gbif
Organism_169	Passiflora edulis	Passion Fruit	gbif
