chem_id,inchikey,mw,exact_mw,logp,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,ring_count,fraction_csp3,heavy_atoms,heteroatoms,formal_charge,qed,ro5_violations
Chemical_2812838479678727467,PUIUHHJIPDJASS-UHFFFAOYSA-N,253.257,253.0739,2.741,62.46,2,4,1,3,3,0.0,19,4,0,0.7006,0
Chemical_4776841198871982216,Cycloheterphyllin,502.563,502.1992,6.669,109.36,3,7,3,3,5,0.3,37,7,0,0.271,2
Chemical_2410225023824673314,TWCMWEWZAVFALI-DSFRQBKCSA-N,917.052,916.4668,-1.555,293.21,10,19,9,0,9,0.9778,64,19,0,0.1172,3
Chemical_4338091198527017679,CRZUKDMWTZQWQG-JCRWQEGMSA-N,520.487,520.1581,-0.507,181.44,5,12,7,1,4,0.44,37,12,0,0.1768,2
Chemical_3265285464359678439,KIBWCMOCIQTVKZ-SFMMMLIKSA-N,396.571,396.2664,5.924,46.53,1,3,1,1,5,0.7308,29,3,0,0.5991,1
Chemical_8748049789170801756,NUPDNAYTDRTFOD-WFRIJLMHSA-N,504.485,504.1843,-3.219,207.99,8,13,9,1,3,0.6364,35,13,0,0.1559,3
Chemical_2610552166157678963,GRMSSCUVELGNHC-UHFFFAOYSA-N,298.25,298.0477,2.6,89.13,2,6,1,3,4,0.0625,22,6,0,0.7175,0
Chemical_7101344480343074074,RYDDERUCYQVBPM-OJCMCELRSA-N,440.712,440.3654,7.612,26.3,0,2,1,0,5,0.9,32,2,0,0.3921,1
Chemical_808697404307828194,STKUCSFEBXPTAY-DTYPFZMBSA-N,686.66,686.2422,-2.516,260.59,8,17,12,1,4,0.6129,48,17,0,0.0834,3
Chemical_3683106269883836289,Ovatoside F,578.567,578.1999,-0.814,204.83,7,13,11,2,4,0.4643,41,13,0,0.1288,3
Chemical_7343835652149251214,Tyrosol,138.166,138.0681,0.927,40.46,2,2,2,1,1,0.25,10,2,0,0.6378,0
Chemical_4682034682020308133,YOFVRVTXKMQUBA-MWDXBVQZSA-N,331.368,331.142,1.682,68.23,1,6,2,1,4,0.5,24,6,0,0.6569,0
Chemical_2477165743522031859,nan,307.39,307.1784,1.742,55.84,0,5,1,0,4,0.8824,22,5,0,0.6908,0
Chemical_5399526383648698164,KPSRODZRAIWAKH-UHFFFAOYSA-N,289.158,288.032,3.59,46.53,1,2,4,1,2,0.4615,18,5,0,0.8615,0
Chemical_6111102243077108397,LSFVIWFEGUFCDX-KUTKNCKESA-N,422.521,422.2093,4.982,86.99,3,5,6,2,3,0.3462,31,5,0,0.4513,0
Chemical_3760265254158801914,Threo-Buddlenol B,584.618,584.2258,3.115,156.53,5,11,13,3,4,0.3548,42,11,0,0.2011,2
Chemical_7153430067104228041,XWMMEBCFHUKHEX-KIGPDBFESA-N,426.729,426.3862,8.025,20.23,1,1,0,0,5,0.9333,31,1,0,0.3887,1
Chemical_5373395300082629947,Buddlenoid A,594.525,594.1373,1.725,216.58,7,13,7,4,5,0.2,43,13,0,0.12,3
Chemical_3779241188605427306,LVKXCIPLRWSMDA-CSQPRREXSA-N,809.003,808.4609,3.063,221.9,7,13,7,0,7,0.907,57,14,0,0.1117,3
Chemical_235175520594548794,QMXOFBXZEKTJIK-LSDHHAIUSA-N,272.256,272.0685,1.812,79.15,3,5,0,2,4,0.2,20,5,0,0.6813,0
Chemical_6028122150296521654,Khayalenoid E,526.582,526.2203,3.762,126.18,0,9,4,1,5,0.6207,38,9,0,0.2494,1
Chemical_7858220944242466500,nan,402.578,402.2559,7.318,40.46,2,2,7,2,3,0.3571,30,2,0,0.4764,1
Chemical_1060510704446215276,nan,440.756,440.4018,8.679,9.23,0,1,2,0,5,0.9355,32,1,0,0.3902,1
Chemical_4551706011918222732,Quercetin 3-O-Alpha-L-Rhamnopyranosyl(1-&gt;6)-(4-O-Trans-P-Coumaroyl)-Beta-D-Galactopyranoside,756.666,756.1902,0.283,295.73,10,18,9,4,6,0.3333,54,18,0,0.0623,3
